name,year,stage,week,tissue,library,place,stageID
st1w4_L1,2018,st1,4,Leaf,180109PalTM,Lab,st1w4
st1w4_L2,2018,st1,4,Leaf,180109PalTM,Lab,st1w4
st1w4_L3,2018,st1,4,Leaf,180109PalTM,Lab,st1w4
st2w2_L1,2018,st2,2,Leaf,180109PalTM,Lab,st2w2
st2w2_L2,2018,st2,2,Leaf,180109PalTM,Lab,st2w2
st2w2_L3,2018,st2,2,Leaf,180109PalTM,Lab,st2w2
st2w4_L2,2018,st2,4,Leaf,180109PalTM,Lab,st2w4
st2w4_L3,2018,st2,4,Leaf,180109PalTM,Lab,st2w4
st3w3_L1,2018,st3,3,Leaf,180109PalTM,Lab,st3w3
st3w3_L2,2018,st3,3,Leaf,180109PalTM,Lab,st3w3
st3w3_L3,2018,st3,3,Leaf,180109PalTM,Lab,st3w3
st3w3_L4,2018,st3,3,Leaf,180109PalTM,Lab,st3w3
st3w5_L1,2018,st3,5,Leaf,180109PalTM,Lab,st3w5
st3w5_L2,2018,st3,5,Leaf,180109PalTM,Lab,st3w5
st3w5_L3,2018,st3,5,Leaf,180109PalTM,Lab,st3w5
st1w4_T1,2018,st1,4,Stem,180109PalTM,Lab,st1w4
st1w4_T2,2018,st1,4,Stem,180109PalTM,Lab,st1w4
st1w4_T3,2018,st1,4,Stem,180109PalTM,Lab,st1w4
st1w4_T4,2018,st1,4,Stem,180109PalTM,Lab,st1w4
st2w2_T1,2018,st2,2,Stem,180109PalTM,Lab,st2w2
st2w2_T2,2018,st2,2,Stem,180109PalTM,Lab,st2w2
st2w2_T3,2018,st2,2,Stem,180109PalTM,Lab,st2w2
st2w4_T1,2018,st2,4,Stem,180109PalTM,Lab,st2w4
st2w4_T2,2018,st2,4,Stem,180109PalTM,Lab,st2w4
st2w4_T3,2018,st2,4,Stem,180109PalTM,Lab,st2w4
st3w3_T1,2018,st3,3,Stem,180109PalTM,Lab,st3w3
st3w3_T2,2018,st3,3,Stem,180109PalTM,Lab,st3w3
st3w3_T3,2018,st3,3,Stem,180109PalTM,Lab,st3w3
st3w5_T1,2018,st3,5,Stem,180109PalTM,Lab,st3w5
st3w5_T2,2018,st3,5,Stem,180109PalTM,Lab,st3w5
st3w5_T3,2018,st3,5,Stem,180109PalTM,Lab,st3w5
st3w5_T4,2018,st3,5,Stem,180109PalTM,Lab,st3w5
stre1w1_T1,2018,stre1,1,Stem,180109PalTM,Lab,stre1w1
stre1w1_T2,2018,stre1,1,Stem,180109PalTM,Lab,stre1w1
stre1w1_T3,2018,stre1,1,Stem,180109PalTM,Lab,stre1w1
stre1w2_T1,2018,stre1,2,Stem,180109PalTM,Lab,stre1w2
stre1w2_T2,2018,stre1,2,Stem,180109PalTM,Lab,stre1w2
st3w3_T4,2018,st3,3,Stem,180109PalTM,Lab,st3w3
stre1w2_T3,2018,stre1,2,Stem,180109PalTM,Lab,stre1w2
st2w4_L1,2018,st2,4,Leaf,PalTM_2,Lab,st2w4
st3w8_T1,2018,st3,8,Stem,PalTM_2,Lab,st3w8
st3w8_T2,2018,st3,8,Stem,PalTM_2,Lab,st3w8
st3w8_T3,2018,st3,8,Stem,PalTM_2,Lab,st3w8
st3w8_T4,2018,st3,8,Stem,PalTM_2,Lab,st3w8